,Index,Question,Options,Correct Answer,Pattern
158,159,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(a),Quantity and Count
159,160,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(b),Quantity and Count
160,161,Is the minute hand of the clock closer to 12 or closer to 1?,(a) 12 (b) 1 ,(a),Positional and Relational Context
161,162,Is the minute hand of the clock closer to 12 or closer to 1?,(a) 12 (b) 1 ,(b),Positional and Relational Context
162,163,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows?,(a) In front of a large window (b) In front of a wall between two windows,(a),Positional and Relational Context
163,164,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows?,(a) In front of a large window (b) In front of a wall between two windows,(b),Positional and Relational Context
164,165,"In this image, are the berries placed",(a) On a dish (b) In bowls of yogurts,(a),Positional and Relational Context
165,166,"In this image, are the berries placed",(a) On a dish (b) In bowls of yogurts,(b),Positional and Relational Context
166,167,Are some fruits cut open or are all the fruits uncut?,(a) Some are cut open (b) All are uncut,(a),State and Condition
167,168,Are some fruits cut open or are all the fruits uncut?,(a) Some are cut open (b) All are uncut,(b),State and Condition
168,169,Is there a knee visible in the image?,(a) Yes (b) No,(a),Presence of Specific Features
169,170,Is there a knee visible in the image?,(a) Yes (b) No,(b),Presence of Specific Features
170,171,Does the snowman in the picture have a mouth?,(a) Yes (b) No,(a),Presence of Specific Features
171,172,Does the snowman in the picture have a mouth?,(a) Yes (b) No,(b),Presence of Specific Features
172,173,Is the decoration on the Easter egg flat or raised?,(a) Flat (b) Raised,(a),Structural and Physical Characteristics
173,174,Is the decoration on the Easter egg flat or raised?,(a) Flat (b) Raised,(b),Structural and Physical Characteristics
174,175,"In the image, is the nail polish on the toes dark or light in color?",(a) Dark (b) Light,(a),Color and Appearance
175,176,"In the image, is the nail polish on the toes dark or light in color?",(a) Dark (b) Light,(b),Color and Appearance
176,177,"In the picture, is the person facing the ocean or turned sideways to the ocean?",(a) Facing the ocean (b) Turned sideways to the ocean,(a),Orientation and Direction
177,178,"In the picture, is the person facing the ocean or turned sideways to the ocean?",(a) Facing the ocean (b) Turned sideways to the ocean,(b),Orientation and Direction
178,179,How many wheels can you see in the image?,(a) 1 (b) 2,(a),Quantity and Count
179,180,How many wheels can you see in the image?,(a) 1 (b) 2,(b),Quantity and Count
180,181,Is the stripe in the middle of the car blue or white?,(a) Blue (b) White,(a),Color and Appearance
181,182,Is the stripe in the middle of the car blue or white?,(a) Blue (b) White,(b),Color and Appearance
182,183,Are the teddy bears holding hands or leaning against each other?,(a) Holding hands (b) Leaning against,(a),Positional and Relational Context
183,184,Are the teddy bears holding hands or leaning against each other?,(a) Holding hands (b) Leaning against,(b),Positional and Relational Context
184,185,Is the person in the picture already standing on the weighing scale?,(a) Yes (b) No,(a),Positional and Relational Context
185,186,Is the person in the picture already standing on the weighing scale?,(a) Yes (b) No,(b),Positional and Relational Context
186,187,"In the picture, is the person stretching out one arm or both arms above their head?",(a) One arm (b) Both arms,(a),Presence of Specific Features
187,188,"In the picture, is the person stretching out one arm or both arms above their head?",(a) One arm (b) Both arms,(b),Orientation and Direction
188,189,Is the person in the picture on the grass or on the gravel path?,(a) Grass (b) Gravel path,(a),Positional and Relational Context
189,190,Is the person in the picture on the grass or on the gravel path?,(a) Grass (b) Gravel path,(b),Positional and Relational Context
190,191,Is there a flower next to the Easter egg in the picture?,(a) Yes (b) No,(a),Positional and Relational Context
191,192,Is there a flower next to the Easter egg in the picture?,(a) Yes (b) No,(b),Positional and Relational Context
192,193,Are these vegetables placed on the floor or on the soil?,(a) Floor (b) Soil,(a),Positional and Relational Context
193,194,Are these vegetables placed on the floor or on the soil?,(a) Floor (b) Soil,(b),Positional and Relational Context
194,195,Are juice and all carrots on the same surface?,(a) Yes (b) No,(a),Positional and Relational Context
195,196,Are juice and all carrots on the same surface?,(a) Yes (b) No,(b),Positional and Relational Context
196,197,Is the person weighing themselves barefoot?,(a) Yes (b) No,(a),State and Condition
197,198,Is the person weighing themselves barefoot?,(a) Yes (b) No,(b),State and Condition
198,199,Which type of eggs are in the corner of the picture?,(a) Quail eggs (b) Chicken eggs ,(a),Presence of Specific Features
199,200,Which type of eggs are in the corner of the picture?,(a) Quail eggs (b) Chicken eggs ,(b),Presence of Specific Features
200,201,What are the words in the image:,"(a) ""Happy Easter"" (b) ""Happy Easter!""",(a),Text
201,202,What are the words in the image:,"(a) ""Happy Easter"" (b) ""Happy Easter!""",(b),Text
202,203,Are these oranges hanging on the tree?,(a) Yes (b) No,(a),Positional and Relational Context
203,204,Are these oranges hanging on the tree?,(a) Yes (b) No,(b),Positional and Relational Context
204,205,Is the coffee cup made of glass?,(a) Yes (b) No,(a),Structural and Physical Characteristics
205,206,Is the coffee cup made of glass?,(a) Yes (b) No,(b),Structural and Physical Characteristics
206,207,Is the bell pepper in the picture red or yellow?,(a) Red (b) Yellow,(a),Color and Appearance
207,208,Is the bell pepper in the picture red or yellow?,(a) Red (b) Yellow,(b),Color and Appearance
208,209,Is there an orange with leaves next to the cup?,(a) Yes (b) No,(a),Positional and Relational Context
209,210,Is there an orange with leaves next to the cup?,(a) Yes (b) No,(b),Positional and Relational Context
210,211,Is the heart-shaped object resting on the palm or being held by the fingers?,(a) Palm (b) Fingers,(a),Positional and Relational Context
211,212,Is the heart-shaped object resting on the palm or being held by the fingers?,(a) Palm (b) Fingers,(b),Positional and Relational Context
212,213,Does the snowman have arms made of branches?,(a) Yes (b) No,(a),Presence of Specific Features
213,214,Does the snowman have arms made of branches?,(a) Yes (b) No,(b),Presence of Specific Features
214,215,Are there black stripes on the roof of the car?,(a) Yes (b) No,(a),Presence of Specific Features
215,216,Are there black stripes on the roof of the car?,(a) Yes (b) No,(b),Presence of Specific Features
216,217,Is the knife laid flat or standing up?,(a) Flat (b) Standing up,(a),State and Condition
217,218,Is the knife laid flat or standing up?,(a) Flat (b) Standing up,(b),State and Condition
218,219,Is the person in the image running towards or away from the camera?,(a) Towards (b) Away from,(a),Viewpoint and Perspective
219,220,Is the person in the image running towards or away from the camera?,(a) Towards (b) Away from,(b),Viewpoint and Perspective
220,221,"In the photo, is one of the man's hands blocked by the woman?",(a) Yes (b) No,(a),Positional and Relational Context
221,222,"In the photo, is one of the man's hands blocked by the woman?",(a) Yes (b) No,(b),Positional and Relational Context
222,223,Is there a pomegranate in the picture?,(a) Yes (b) No,(a),Presence of Specific Features
223,224,Is there a pomegranate in the picture?,(a) Yes (b) No,(b),Presence of Specific Features
224,225,Are all the cups and bottles in the picture the same height?,(a) Yes (b) No,(a),Positional and Relational Context
225,226,Are all the cups and bottles in the picture the same height?,(a) Yes (b) No,(b),Positional and Relational Context
226,227,Does the person in the picture have something in their hand?,(a) Yes (b) No,(a),Presence of Specific Features
227,228,Does the person in the picture have something in their hand?,(a) Yes (b) No,(b),Presence of Specific Features
228,229,Do all the bottles in the picture face the same direction?,(a) Yes (b) No,(a),Orientation and Direction
229,230,Do all the bottles in the picture face the same direction?,(a) Yes (b) No,(b),Orientation and Direction
230,231,"Are all easter eggs placed in a container (e.g nest, basket)?",(a) Yes (b) No,(a),Positional and Relational Context
231,232,"Are all easter eggs placed in a container (e.g nest, basket)?",(a) Yes (b) No,(b),Positional and Relational Context
232,233,Is the sky in the background dark blue or light blue?,(a) Dark blue (b) Light blue,(a),Color and Appearance
233,234,Is the sky in the background dark blue or light blue?,(a) Dark blue (b) Light blue,(b),Color and Appearance
234,235,Do the individuals in the picture face the front or the back?,(a) Front (b) Back,(a),Orientation and Direction
235,236,Do the individuals in the picture face the front or the back?,(a) Front (b) Back,(b),Orientation and Direction
236,237,Is the ground completely covered by red fallen leaves?,(a) Yes (b) No,(a),Color and Appearance
237,238,Is the ground completely covered by red fallen leaves?,(a) Yes (b) No,(b),Color and Appearance
238,239,Are the leather shoes placed side by side or is one on top of the other?,(a) Side by side (b) One on top of the other,(a),Positional and Relational Context
239,240,Are the leather shoes placed side by side or is one on top of the other?,(a) Side by side (b) One on top of the other,(b),Positional and Relational Context
240,241,Is the photo taken directly above the coffee or from the side?,(a) Above (b) From the side,(a),Viewpoint and Perspective
241,242,Is the photo taken directly above the coffee or from the side?,(a) Above (b) From the side,(b),Viewpoint and Perspective
242,243,Is the rabbit in the image facing left or right?,(a) Left (b) Right,(a),Orientation and Direction
243,244,Is the rabbit in the image facing left or right?,(a) Left (b) Right,(b),Orientation and Direction
244,245,Is the elderly person in the picture standing or sitting?,(a) Standing (b) Sitting,(a),State and Condition
245,246,Is the elderly person in the picture standing or sitting?,(a) Standing (b) Sitting,(b),State and Condition
246,247,Are there any fruits or vegetables in the heart-shaped part of the picture?,(a) Yes (b) No,(a),Positional and Relational Context
247,248,Are there any fruits or vegetables in the heart-shaped part of the picture?,(a) Yes (b) No,(b),Positional and Relational Context
248,249,Is the very top of the cake strawberries or cream?,(a) Strawberries (b) Cream,(a),Presence of Specific Features
249,250,Is the very top of the cake strawberries or cream?,(a) Strawberries (b) Cream,(b),Presence of Specific Features
250,251,Is the beverage in the picture contained in a mug or a glass?,(a) Mug (b) Glass,(a),Presence of Specific Features
251,252,Is the beverage in the picture contained in a mug or a glass?,(a) Mug (b) Glass,(b),Presence of Specific Features
252,253,Is the design in the picture Santa Claus or a snowman?,(a) Santa Claus (b) Snowman,(a),Presence of Specific Features
253,254,Is the design in the picture Santa Claus or a snowman?,(a) Santa Claus (b) Snowman,(b),Presence of Specific Features
254,255,Are there cookies stacked on top of other cookies?,(a) Yes (b) No,(a),Positional and Relational Context
255,256,Are there cookies stacked on top of other cookies?,(a) Yes (b) No,(b),Positional and Relational Context
256,257,Is there a lemon inside the drink in the cup or are all the lemons outside the drink?,(a) There is one inside (b) All are outside,(a),Positional and Relational Context
257,258,Is there a lemon inside the drink in the cup or are all the lemons outside the drink?,(a) There is one inside (b) All are outside,(b),Positional and Relational Context
258,259,"In the picture, are the elderly people moving to the left or to the right?",(a) Left (b) Right,(a),Orientation and Direction
259,260,"In the picture, are the elderly people moving to the left or to the right?",(a) Left (b) Right,(b),Orientation and Direction
260,261,Is the person in the picture sitting on a black or white chair?,(a) Black (b) White,(a),Color and Appearance
261,262,Is the person in the picture sitting on a black or white chair?,(a) Black (b) White,(b),Color and Appearance
262,263,Is it a slice of cake or a whole cake in the picture?,(a) Slice (b) Whole,(a),Quantity and Count
263,264,Is it a slice of cake or a whole cake in the picture?,(a) Slice (b) Whole,(b),Quantity and Count
264,265,Is the shoe in the image tied or untied?,(a) Tied (b) Untied,(a),State and Condition
265,266,Is the shoe in the image tied or untied?,(a) Tied (b) Untied,(b),State and Condition
266,267,Is the child in the picture facing forward or in profile?,(a) Facing forward (b) In profile,(a),Orientation and Direction
267,268,Is the child in the picture facing forward or in profile?,(a) Facing forward (b) In profile,(b),Orientation and Direction
268,269,Is the wall behind the bed empty or is there a painting hanging on it?,(a) Empty (b) A painting hanging on it,(a),Presence of Specific Features
269,270,Is the wall behind the bed empty or is there a painting hanging on it?,(a) Empty (b) A painting hanging on it,(b),Presence of Specific Features
270,271,Is the male in the picture wearing a shirt or a T-shirt?,(a) Shirt (b) T-shirt,(a),Presence of Specific Features
271,272,Is the male in the picture wearing a shirt or a T-shirt?,(a) Shirt (b) T-shirt,(b),Presence of Specific Features
272,273,What pattern is in the picture?,(a) Pumpkin Lights (b) Bats,(a),Presence of Specific Features
273,274,What pattern is in the picture?,(a) Pumpkin Lights (b) Bats,(b),Presence of Specific Features
274,275,How many trees are the treehouse built on?,(a) One (b) More than one,(a),Quantity and Count
275,276,How many trees are the treehouse built on?,(a) One (b) More than one,(b),Quantity and Count
276,277,What are all the letter in the image?,(a) SUGAR (b) UGA,(a),Text
277,278,What are all the letter in the image?,(a) SUGAR (b) UGA,(b),Text
278,279,Is the elderly person standing or sitting in the picture?,(a) Standing (b) Sitting,(a),State and Condition
279,280,Is the elderly person standing or sitting in the picture?,(a) Standing (b) Sitting,(b),State and Condition
280,281,Are there drinks on the table?,(a) Yes (b) No,(a),Presence of Specific Features
281,282,Are there drinks on the table?,(a) Yes (b) No,(b),Presence of Specific Features
282,283,"In the image, is it a salmon fillet or a salmon steak?",(a) Salmon fillet (b) Salmon steak,(a),Structural and Physical Characteristics
283,284,"In the image, is it a salmon fillet or a salmon steak?",(a) Salmon fillet (b) Salmon steak,(b),Structural and Physical Characteristics
284,285,Do you see a yellow towel in the image?,(a) Yes (b) No,(a),Color and Appearance
285,286,Do you see a yellow towel in the image?,(a) Yes (b) No,(b),Color and Appearance
286,287,Is the cup placed on a surface or being held by hand?,(a) Placed on a surface (b) Held by hand,(a),Positional and Relational Context
287,288,Is the cup placed on a surface or being held by hand?,(a) Placed on a surface (b) Held by hand,(b),Positional and Relational Context
288,289,Is the following statement correct: There are different colors of grapes in the image.,(a) Correct (b) Incorrect,(a),Color and Appearance
289,290,Is the following statement correct: There are different colors of grapes in the image.,(a) Correct (b) Incorrect,(b),Color and Appearance
290,291,Is the minion in the image smiling with its tongue out?,(a) Yes (b) No,(a),State and Condition
291,292,Is the minion in the image smiling with its tongue out?,(a) Yes (b) No,(b),State and Condition
292,293,Is the sports car in the picture facing left or right?,(a) Left (b) Right,(a),Orientation and Direction
293,294,Is the sports car in the picture facing left or right?,(a) Left (b) Right,(b),Orientation and Direction
294,295,Is the edge of the heart in the picture white or dark-colored?,(a) White (b) Dark-colored,(a),Color and Appearance
295,296,Is the edge of the heart in the picture white or dark-colored?,(a) White (b) Dark-colored,(b),Color and Appearance
296,297,Are there patterns on the easter eggs?,(a) Yes (b) No,(a),Color and Appearance
297,298,Are there patterns on the easter eggs?,(a) Yes (b) No,(b),Color and Appearance
298,299,How would you describe the background of the image?,(a) Light shining through the clouds from the upper right corner (b) Most of the background is dark and cloudy,(a),Positional and Relational Context
299,300,How would you describe the background of the image?,(a) Light shining through the clouds from the upper right corner (b) Most of the background is dark and cloudy,(b),Positional and Relational Context
